[LOG] [Tue Oct 11 15:47:02 2022] 日志初始化. 
[LOG] [Tue Oct 11 15:47:02 2022] DX渲染 预先初始化 完成 
[LOG] [Tue Oct 11 15:47:02 2022] 引擎 预初始化 完成. 
[LOG] [Tue Oct 11 15:47:02 2022] 初始化窗口完成. 
[SUCCESS] [Tue Oct 11 15:47:02 2022] Success ! 
[SUCCESS] [Tue Oct 11 15:47:02 2022] Success ! 
[SUCCESS] [Tue Oct 11 15:47:02 2022] Success ! 
[SUCCESS] [Tue Oct 11 15:47:02 2022] Success ! 
[SUCCESS] [Tue Oct 11 15:47:02 2022] Success ! 
[SUCCESS] [Tue Oct 11 15:47:02 2022] Success ! 
[SUCCESS] [Tue Oct 11 15:47:02 2022] Success ! 
[SUCCESS] [Tue Oct 11 15:47:02 2022] Success ! 
[SUCCESS] [Tue Oct 11 15:47:02 2022] Success ! 
[SUCCESS] [Tue Oct 11 15:47:02 2022] Success ! 
[SUCCESS] [Tue Oct 11 15:47:02 2022] Success ! 
[SUCCESS] [Tue Oct 11 15:47:02 2022] Success ! 
[SUCCESS] [Tue Oct 11 15:47:02 2022] Success ! 
[LOG] [Tue Oct 11 15:47:02 2022] DX渲染 初始化 完成 
[LOG] [Tue Oct 11 15:47:02 2022] 引擎 初始化 完成. 
[LOG] [Tue Oct 11 15:47:02 2022] 引擎 拖后初始化 完成. 
[LOG] [Tue Oct 11 15:47:02 2022] DX渲染 拖后初始化 完成 
[SUCCESS] [Tue Oct 11 15:47:02 2022] Success ! 
[SUCCESS] [Tue Oct 11 15:47:02 2022] Success ! 
[SUCCESS] [Tue Oct 11 15:47:02 2022] Success ! 
[SUCCESS] [Tue Oct 11 15:47:02 2022] Success ! 
[SUCCESS] [Tue Oct 11 15:47:02 2022] Success ! 
[SUCCESS] [Tue Oct 11 15:47:02 2022] Success ! 
[SUCCESS] [Tue Oct 11 15:47:02 2022] Success ! 
[SUCCESS] [Tue Oct 11 15:47:02 2022] Success ! 
[SUCCESS] [Tue Oct 11 15:47:02 2022] Success ! 
[SUCCESS] [Tue Oct 11 15:47:02 2022] Success ! 
[SUCCESS] [Tue Oct 11 15:47:02 2022] Success ! 
[SUCCESS] [Tue Oct 11 15:47:02 2022] Success ! 
[SUCCESS] [Tue Oct 11 15:47:02 2022] Success ! 
